,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points
ara97741,amy.adams@univ.edu,1,Amy,Adams,49.0,80,53,80,55,80,78,100,46,70,59,90,49,50,58,70,39,60,54,60,87,100,74,100,76,100
cxa22039,christina.allen@univ.edu,1,Christina,Allen,63.0,80,78,80,76,80,68,100,53,70,83,90,44,50,69,70,39,60,43,60,60,100,70,100,67,100
lxb98047,lucas.baldwin@univ.edu,1,Lucas,Baldwin,79.0,80,50,80,77,80,95,100,55,70,76,90,30,50,67,70,55,60,50,60,83,100,74,100,97,100
wxb12345,woody.barrera_jr@univ.edu,1,Woody,Barrera,55.0,80,62,80,73,80,83,100,68,70,87,90,36,50,43,70,45,60,46,60,86,100,62,100,90,100
jxb40799,john.bauer@univ.edu,1,John,Bauer,57.0,80,70,80,73,80,83,100,56,70,89,90,38,50,57,70,57,60,44,60,64,100,88,100,92,100
djb29817,david.beck@univ.edu,1,David,Beck,62.0,80,79,80,48,80,61,100,43,70,59,90,42,50,51,70,55,60,39,60,91,100,74,100,65,100
rjb91830,richard.bennett@univ.edu,1,Richard,Bennett,76.0,80,75,80,77,80,68,100,49,70,80,90,34,50,45,70,57,60,53,60,66,100,97,100,88,100
cxd92501,cameron.dennis@univ.edu,1,Cameron,Dennis,75.0,80,73,80,59,80,61,100,43,70,67,90,36,50,59,70,51,60,54,60,88,100,66,100,68,100
eed42850,emily.dudley@univ.edu,1,Emily,Dudley,53.0,80,80,80,62,80,93,100,70,70,62,90,40,50,62,70,37,60,37,60,96,100,73,100,76,100
exd72538,erin.duffy@univ.edu,1,Erin,Duffy,66.0,80,54,80,50,80,65,100,56,70,65,90,35,50,46,70,46,60,59,60,85,100,92,100,88,100
rge65208,richard.elliott@univ.edu,1,Richard,Elliott,49.0,80,64,80,76,80,80,100,49,70,65,90,41,50,55,70,37,60,42,60,66,100,64,100,74,100
kxf45205,katelyn.faulkner@univ.edu,1,Katelyn,Faulkner,65.0,80,65,80,55,80,90,100,69,70,65,90,34,50,69,70,44,60,42,60,68,100,60,100,61,100
