,Email Address,Section,First Name,Last Name,Homework 1,Homework 1 - Max Points,Homework 2,Homework 2 - Max Points,Homework 3,Homework 3 - Max Points,Homework 4,Homework 4 - Max Points,Homework 5,Homework 5 - Max Points,Homework 6,Homework 6 - Max Points,Homework 7,Homework 7 - Max Points,Homework 8,Homework 8 - Max Points,Homework 9,Homework 9 - Max Points,Homework 10,Homework 10 - Max Points,Exam 1,Exam 1 - Max Points,Exam 2,Exam 2 - Max Points,Exam 3,Exam 3 - Max Points
dma58910,daisy.anderson@univ.edu,2,Daisy,Anderson,64.0,80,52,80,57,80,84,100,54,70,63,90,34,50,45,70,38,60,45,60,92,100,66,100,94,100
lba53221,lauren.anderson@univ.edu,2,Lauren,Anderson,55.0,80,75,80,57,80,75,100,47,70,83,90,48,50,44,70,44,60,56,60,94,100,67,100,86,100
vkb66346,victoria.boyd@univ.edu,2,Victoria,Boyd,58.0,80,61,80,75,80,99,100,52,70,86,90,34,50,51,70,40,60,50,60,68,100,93,100,69,100
lmb95641,lauren.brock@univ.edu,2,Lauren,Brock,74.0,80,58,80,62,80,82,100,54,70,87,90,30,50,51,70,60,60,54,60,75,100,72,100,96,100
ksb85997,kelsey.brown@univ.edu,2,Kelsey,Brown,78.0,80,68,80,52,80,80,100,51,70,70,90,49,50,46,70,59,60,56,60,80,100,69,100,83,100
cxc08121,charles.campbell@univ.edu,2,Charles,Campbell,60.0,80,61,80,63,80,81,100,50,70,75,90,44,50,57,70,47,60,50,60,66,100,96,100,100,100
lxc64780,lorraine.carter@univ.edu,2,Lorraine,Carter,50.0,80,66,80,62,80,80,100,42,70,66,90,38,50,56,70,45,60,43,60,68,100,69,100,99,100
amc28428,adam.cooper@univ.edu,2,Adam,Cooper,80.0,80,78,80,78,80,87,100,65,70,55,90,44,50,44,70,45,60,53,60,65,100,63,100,90,100
axc64717,alec.curry@univ.edu,2,Alec,Curry,69.0,80,76,80,66,80,87,100,59,70,83,90,43,50,65,70,58,60,42,60,65,100,78,100,83,100
wad63934,william.daniel@univ.edu,2,William,Daniel,48.0,80,60,80,72,80,76,100,65,70,60,90,38,50,62,70,51,60,36,60,84,100,91,100,95,100
axd11293,amber.daniels@univ.edu,2,Amber,Daniels,54.0,80,57,80,77,80,95,100,47,70,87,90,44,50,58,70,46,60,59,60,68,100,95,100,88,100
djd31335,desiree.delgado@univ.edu,2,Desiree,Delgado,69.0,80,74,80,74,80,64,100,60,70,55,90,31,50,55,70,55,60,51,60,88,100,69,100,78,100
rxd29805,robert.douglas@univ.edu,2,Robert,Douglas,57.0,80,53,80,73,80,78,100,42,70,83,90,41,50,69,70,44,60,39,60,86,100,67,100,87,100
axd31221,angela.dunlap@univ.edu,2,Angela,Dunlap,49.0,80,73,80,71,80,75,100,62,70,64,90,41,50,66,70,42,60,56,60,82,100,64,100,92,100
tce09928,timothy.edwards@univ.edu,2,Timothy,Edwards,49.0,80,72,80,60,80,87,100,49,70,84,90,30,50,49,70,39,60,60,60,68,100,73,100,71,100
bcf26283,brandon.flores@univ.edu,2,Brandon,Flores,62.0,80,52,80,77,80,87,100,45,70,71,90,40,50,45,70,45,60,54,60,96,100,93,100,65,100
rcf61653,russell.flores@univ.edu,2,Russell,Flores,48.0,80,68,80,71,80,77,100,68,70,90,90,30,50,64,70,47,60,56,60,64,100,78,100,98,100
dsg54218,desiree.garcia@univ.edu,2,Desiree,Garcia,68.0,80,78,80,77,80,95,100,60,70,73,90,35,50,47,70,45,60,55,60,81,100,99,100,70,100
hxg56446,heidi.glover@univ.edu,2,Heidi,Glover,65.0,80,52,80,60,80,65,100,45,70,81,90,47,50,43,70,51,60,48,60,60,100,83,100,83,100
smg03171,sherry.good@univ.edu,2,Sherry,Good,50.0,80,48,80,77,80,94,100,54,70,77,90,44,50,62,70,48,60,47,60,89,100,88,100,64,100
lxg35058,lori.gordon@univ.edu,2,Lori,Gordon,52.0,80,74,80,75,80,79,100,67,70,72,90,50,50,51,70,40,60,38,60,88,100,96,100,76,100
bjg14618,benjamin.graham@univ.edu,2,Benjamin,Graham,64.0,80,52,80,58,80,87,100,60,70,89,90,41,50,45,70,50,60,37,60,81,100,73,100,81,100
chh70562,crystal.holt@univ.edu,2,Crystal,Holt,68.0,80,51,80,64,80,91,100,52,70,67,90,37,50,43,70,45,60,39,60,63,100,97,100,73,100
mjj83180,margaret.james@univ.edu,2,Margaret,James,67.0,80,63,80,48,80,81,100,62,70,89,90,36,50,57,70,48,60,51,60,85,100,90,100,97,100
jxj82678,jamie.johnson@univ.edu,2,Jamie,Johnson,74.0,80,78,80,76,80,100,100,66,70,85,90,40,50,67,70,36,60,50,60,63,100,71,100,90,100
smj00936,stacy.johnson@univ.edu,2,Stacy,Johnson,74.0,80,55,80,60,80,67,100,46,70,85,90,43,50,42,70,59,60,48,60,96,100,80,100,86,100
txj17476,tara.johnson@univ.edu,2,Tara,Johnson,53.0,80,74,80,65,80,82,100,45,70,59,90,48,50,56,70,40,60,57,60,71,100,91,100,95,100
mxl12345,malaika.lambert@univ.edu,2,Malaika,Lambert,63.0,80,57,80,78,80,83,100,61,70,88,90,42,50,58,70,45,60,37,60,60,100,91,100,93,100
axl60952,aaron.lester@univ.edu,2,Aaron,Lester,68.0,80,74,80,77,80,89,100,51,70,87,90,33,50,48,70,42,60,41,60,79,100,63,100,68,100
asm59771,ashley.martin@univ.edu,2,Ashley,Martin,50.0,80,66,80,80,80,68,100,46,70,86,90,33,50,63,70,51,60,48,60,67,100,72,100,68,100
sem28474,stephen.miller@univ.edu,2,Stephen,Miller,50.0,80,48,80,63,80,77,100,57,70,81,90,49,50,69,70,55,60,41,60,72,100,70,100,97,100
bgm86325,brian.myers@univ.edu,2,Brian,Myers,75.0,80,49,80,53,80,65,100,66,70,69,90,49,50,47,70,44,60,53,60,74,100,60,100,92,100
cxn83965,cindy.nguyen@univ.edu,2,Cindy,Nguyen,51.0,80,59,80,58,80,63,100,52,70,58,90,50,50,66,70,46,60,41,60,82,100,68,100,82,100
jxo31236,john.odom@univ.edu,2,John,Odom,59.0,80,59,80,60,80,61,100,44,70,62,90,34,50,66,70,52,60,55,60,85,100,100,100,80,100
bkr19538,brandy.reilly@univ.edu,2,Brandy,Reilly,70.0,80,80,80,55,80,84,100,42,70,79,90,44,50,60,70,45,60,52,60,69,100,67,100,95,100
bxr62103,bailey.reyes@univ.edu,2,Bailey,Reyes,53.0,80,50,80,55,80,97,100,57,70,75,90,39,50,64,70,41,60,46,60,90,100,72,100,71,100
skr62062,steven.roberts@univ.edu,2,Steven,Roberts,56.0,80,75,80,76,80,92,100,59,70,74,90,38,50,60,70,59,60,49,60,70,100,80,100,67,100
akr14831,alexander.rodriguez@univ.edu,2,Alexander,Rodriguez,50.0,80,54,80,74,80,75,100,54,70,59,90,38,50,43,70,38,60,47,60,97,100,97,100,81,100
